client_id,distance_m
0,10.62
1,19.26
2,15.98
3,13.98
4,7.34
5,7.34
6,5.87
7,17.99
8,14.02
9,15.62
10,5.31
11,19.55
12,17.49
13,8.19
14,7.73
15,7.75
16,9.56
17,12.87
18,11.48
19,9.37
20,14.18
21,7.09
22,9.38
23,10.5
24,11.84
25,16.78
26,8.0
27,12.71
28,13.89
29,5.7
30,14.11
31,7.56
32,5.98
33,19.23
34,19.48
35,17.13
36,9.57
37,6.47
38,15.26
39,11.6
40,6.83
41,12.43
42,5.52
43,18.64
44,8.88
45,14.94
46,9.68
47,12.8
48,13.2
49,7.77
50,19.54
51,16.63
52,19.09
53,18.42
54,13.97
55,18.83
56,6.33
57,7.94
58,5.68
59,9.88
60,10.83
61,9.07
62,17.43
63,10.35
64,9.21
65,13.14
66,7.11
67,17.03
68,6.12
69,19.8
70,16.58
71,7.98
72,5.08
73,17.23
74,15.6
75,15.94
76,16.57
77,6.11
78,10.38
79,6.74
80,17.95
81,14.35
82,9.96
83,5.95
84,9.66
85,9.88
86,15.94
87,14.56
88,18.31
89,12.08
90,6.79
91,15.7
92,16.41
93,13.42
94,16.56
95,12.41
96,12.84
97,11.41
98,5.38
99,6.62
