id,x,y
0,0.0,0.0
1,8.29,-6.64
2,-17.73,-7.52
3,-12.32,10.18
4,4.54,-13.22
5,-3.62,6.38
6,-4.82,-5.54
7,3.35,4.82
8,-5.16,17.23
9,13.55,3.6
10,2.13,15.47
11,-4.97,-1.86
12,-0.46,19.54
13,17.3,2.54
14,-7.36,3.59
15,-1.6,-7.56
16,7.58,1.63
17,2.3,-9.28
18,5.11,11.81
19,10.5,-4.65
20,-6.42,-6.83
21,4.23,13.53
22,-1.13,-7.0
23,1.9,9.19
24,-1.53,10.39
25,11.35,-3.36
26,-5.84,15.73
27,5.63,-5.68
28,-4.88,-11.74
29,7.23,-11.86
30,5.69,0.29
31,-12.01,-7.41
32,-2.54,-7.12
33,-0.07,-5.98
34,0.18,19.23
35,7.18,-18.11
36,9.5,-14.26
37,9.57,0.11
38,-1.9,-6.19
39,-8.22,12.86
40,11.59,-0.36
41,6.51,2.06
42,11.4,-4.96
43,-4.52,3.16
44,18.6,-1.24
45,7.73,-4.38
46,6.99,13.21
47,-3.8,-8.9
48,-9.57,-8.5
49,0.29,13.2
50,7.01,3.35
51,-19.28,3.19
52,-13.33,9.95
53,19.03,-1.46
54,-9.32,15.89
55,-13.34,-4.16
56,17.95,-5.7
57,4.92,3.98
58,6.58,-4.45
59,4.94,-2.81
60,-9.09,-3.86
61,2.06,-10.63
62,-1.38,-8.96
63,17.36,-1.58
64,-3.97,-9.56
65,3.74,8.41
66,-1.75,-13.02
67,-1.56,6.94
68,4.94,16.3
69,-0.64,6.09
70,3.68,-19.45
71,7.12,14.97
72,7.51,2.7
73,-5.06,-0.4
74,7.92,15.3
75,15.21,-3.47
76,12.97,-9.27
77,3.57,16.18
78,2.31,5.66
79,2.27,-10.13
80,-6.3,-2.39
81,16.02,8.09
82,14.35,-0.33
83,0.8,9.93
84,4.53,3.85
85,-8.03,-5.37
86,3.22,-9.34
87,1.15,-15.9
88,8.33,-11.94
89,-11.77,14.03
90,-11.47,-3.78
91,2.9,-6.14
92,13.64,7.77
93,16.38,-0.95
94,1.15,-13.37
95,9.43,13.62
96,-11.81,-3.81
97,4.25,-12.12
98,-6.4,9.44
99,4.42,-3.06
100,-2.23,6.23
